_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0001,28-34,Homemaker,Western/European,"Under 3,000 AED",13-20,Once in 2-3 months,W for Woman; Meesho/unbranded sellers; Local UAE stores/boutiques,Brand websites (D2C online stores); Physical stores/malls in UAE,101-150 AED,Sale or discount offer; Need for daily/work wardrobe refresh,A-line; Kaftan-style,Pure Cotton; Cotton-Linen blend; Rayon,"Earthy tones (mustard, rust, olive, brown); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals,Full sleeves; Bell/statement sleeves,V-neck; Mandarin/band collar,Mid-thigh,Dhoti pants/tulip pants,Family gatherings/dinners,9-to-5 Edit (3 workwear kurtis),181-250 AED,Combo price lower than individual total; I don't need discounts - I buy if I like the product,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Can't find good curated sets/bundles,Never - I'm confident buying online,Might or might not,professional
R0002,18-22,Student (School/Undergraduate),Arab/Middle Eastern,No personal income,6-12,Rarely/Never,I don't buy kurtis currently,Brand websites (D2C online stores),Under 30 AED,Saw something trending on social media,Crop kurti,Pure Cotton,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Geometric/abstract,Bell/statement sleeves,Mandarin/band collar,Mid-thigh,Leggings/jeggings,I don't wear kurtis currently,None - I prefer buying single pieces,80-120 AED,I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Difficult or costly returns,Never - I'm confident buying online,Definitely would not,non_customer
R0003,18-22,Student (School/Undergraduate),,"7,001-12,000 AED",None,,Anouk (Myntra); Buy during India visits; Instagram/WhatsApp small brands,Brand websites (D2C online stores),61-100 AED,New season or collection drop,Shirt-style/collar,Georgette/Chiffon; No preference,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Slim/body-hugging fit,Florals; Solid/plain; Stripes/checks; Mirror work/sequins; Digital/contemporary prints,Bell/statement sleeves,Mandarin/band collar; Shirt collar,Knee length,Jeans/denim,Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,,Free delivery; Referral rewards,I love mixing Indian and Western styles to create my own look,Difficult or costly returns,Never - I'm confident buying online,Might or might not,trend
R0004,,Homemaker,South Asian,"7,001-12,000 AED",6-12,Weekly,Biba; Meesho/unbranded sellers; Local UAE stores/boutiques,Brand websites (D2C online stores),151-250 AED,,A-line,Pure Cotton; Georgette/Chiffon; Silk/Chanderi,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple)",Regular/comfort fit,Embroidered/thread work,,Round neck,Mid-thigh,Palazzo pants,Family gatherings/dinners,Festive Glow (2 embroidered/silk kurtis),181-250 AED,Buy 2 Get 1 Free; Combo price lower than individual total,I prioritize comfort and practicality above everything,Too expensive for the quality offered,Rarely - I'm usually okay with online purchases,Probably would buy,festive
R0005,18-22,Student (Postgraduate),Arab/Middle Eastern,"Under 3,000 AED",1-5,Once in 2-3 months,Biba; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Saw something trending on social media,Shirt-style/collar; Anarkali (short flared); Asymmetric/high-low hem; Crop kurti,Pure Cotton; Cotton-Linen blend; No preference,Multi-color/prints,Slim/body-hugging fit,Embroidered/thread work; Mirror work/sequins; Digital/contemporary prints,Short/half sleeves; Sleeveless,Boat neck,Just above knee,Jeans/denim; Skirts,"Festivals (Diwali, Eid, etc.); Parties/date nights",,Under 80 AED,"Flat percentage off (e.g., 20% off); First-order discount; Referral rewards",I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos,"Yes, frequently - it's a major concern",Definitely would buy,campus
R0006,23-27,Student (School/Undergraduate),,No personal income,More than 20,,Instagram/WhatsApp small brands,Brand websites (D2C online stores),101-150 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh,Crop kurti; Kaftan-style,Pure Cotton,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Geometric/abstract,3/4th sleeves,Round neck,Just above knee,Leggings/jeggings; Skirts,Daily college/university wear; Casual outings/errands,None - I prefer buying single pieces,Under 80 AED,Buy 2 Get 1 Free; Combo price lower than individual total; I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Limited trendy options for short kurtis; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Not enough options for my size,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0007,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",1-5,Once a month,Anouk (Myntra),"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Upcoming festival/occasion,A-line,Pure Cotton,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Flared/breezy fit,Florals; Block print/Jaipur print,3/4th sleeves,Round neck,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Family gatherings/dinners","Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free",,Limited trendy options for short kurtis; Difficult or costly returns,Rarely - I'm usually okay with online purchases,Definitely would buy,campus
R0008,23-27,Working Professional,Western/European,No personal income,More than 20,Once a month,Buy during India visits; Instagram/WhatsApp small brands,Brand websites (D2C online stores),61-100 AED,New season or collection drop,Straight-cut; Shirt-style/collar,Pure Cotton; Cotton-Linen blend,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Florals; Block print/Jaipur print; Solid/plain,Full sleeves,Mandarin/band collar,Knee length,Palazzo pants; Cigarette/straight pants; Skirts,Office/workplace; Casual outings/errands,9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,181-250 AED,I don't need discounts - I buy if I like the product,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos,Rarely - I'm usually okay with online purchases,Definitely would buy,minimalist
R0009,28-34,Homemaker,South Asian,"3,000-7,000 AED",More than 20,Once in 2-3 months,Biba; W for Woman; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",151-250 AED,Upcoming festival/occasion,A-line,Rayon,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals,3/4th sleeves; Bell/statement sleeves,Keyhole/cut-out,Just above knee,Jeans/denim; Sharara,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Family gatherings/dinners","Festive Glow (2 embroidered/silk kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",,,I prioritize comfort and practicality above everything,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Not enough options for my size,Rarely - I'm usually okay with online purchases,Might or might not,festive
R0010,28-34,Student (School/Undergraduate),Other,"Under 3,000 AED",13-20,Once a month,Buy during India visits; Instagram/WhatsApp small brands,Instagram/Social media shops,61-100 AED,Upcoming festival/occasion; Saw something trending on social media,Anarkali (short flared); Peplum; Asymmetric/high-low hem; Crop kurti,Rayon; Muslin,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",,Florals; Block print/Jaipur print; Embroidered/thread work,Short/half sleeves,Shirt collar,Just above knee,Skirts,Casual outings/errands,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",80-120 AED,Buy 2 Get 1 Free; First-order discount,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Limited trendy options for short kurtis; Too expensive for the quality offered,"Yes, frequently - it's a major concern",Definitely would buy,trend
